,Frequency,Skin Refractive Index,Skin Absorption Coefficient (mm^-1),Fat Refractive Index,Fat Absorption Coefficient (mm^-1),"The distance relation of each frequency between ""SKIN"" & ""FAT"""
1,0.2,2.48780295744146,7.24000454775348,2.0305,4.0489,1.5324685168139904
2,0.4,2.24613900229821,9.49048056157432,1.9319,5.8964,1.4540129304370684
3,0.6,2.16565690914813,11.7369545891425,1.8659,8.0317,1.396158450689474
4,0.8,2.11138663865768,14.2405314272339,1.8101,10.0315,1.2646862423266996
5,1,2.06501206875079,16.8460529408516,1.7649,11.7077,1.3941790164650054
6,1.2,2.02337458589066,19.3949054525323,1.7295,13.0432,1.5314788069374405
7,1.4,1.98605048101556,21.7815100778663,1.7021,14.0876,1.4771213323095471
8,1.6,1.95296886901,23.9514653049556,1.6809,14.8994,1.6335607682896673
9,1.8,1.92394733689803,25.8870866229654,1.6644,15.5355,1.515561379151029
10,2,1.89866753346034,27.5931946323274,1.6514,16.0376,1.515062758684401
